158	224	251	380	164	330	41	164	158	368	350	221	158	311	368	380	281	311	38
179	179	22	73	154	357	52	385	250	45	242	289	179	119	122	295	305	179	52
374	307	170	86	61	374	170	374	402	288	374	86	86	376	174	402	276	91	374
400	24	323	340	390	348	414	313	69	364	398	175	400	400	390	400	414	400	266
178	215	300	361	76	383	132	342	83	142	280	5	326	408	181	178	83	383	304
229	27	36	49	58	115	117	130	206	25	234	285	310	317	360	370	395	415	417
293	344	319	356	108	405	44	261	293	71	388	148	186	40	34	327	403	101	382
332	391	332	257	337	93	138	377	128	152	335	236	18	315	255	81	366	245	345
8	16	172	298	155	9	139	65	150	254	353	8	371	2	211	162	55	272	283
48	267	68	144	105	48	191	322	239	32	411	166	291	20	125	260	238	203	97
199	87	194	219	214	202	112	207	247	199	183	394	110	225	269	54	100	227	209
