158	41	59	95	133	38	164	217	221	224	251	274	281	301	311	330	350	368	380
179	22	29	45	52	73	89	119	122	154	159	11	242	250	289	295	305	357	385
374	77	86	91	114	124	170	174	190	197	243	264	276	277	288	307	61	376	402
400	67	69	80	146	175	187	195	266	313	323	340	348	351	364	390	398	24	414
178	5	76	83	132	142	4	181	215	232	280	300	304	326	334	342	361	383	408
229	27	36	49	58	115	117	130	206	25	234	285	310	317	360	370	395	415	417
293	40	44	63	71	101	108	148	186	261	34	319	327	344	356	382	388	403	405
332	81	93	128	135	138	152	236	245	255	257	315	18	335	337	345	366	377	391
8	2	9	16	55	65	139	150	155	162	172	211	254	272	283	298	353	371	410
48	32	20	68	97	104	105	125	144	166	191	203	238	239	260	267	291	322	411
199	54	87	100	110	112	183	194	13	202	207	209	214	219	225	227	247	269	394
