158	224	251	281	311	301	368	350	221	133	217	38	59	380	164	330	41	95	274
179	22	73	154	357	89	52	385	250	45	242	289	159	29	119	122	295	305	11
374	307	170	86	61	77	243	197	190	124	276	91	277	114	264	376	174	402	288
400	24	323	340	390	348	414	313	69	364	398	175	266	187	146	351	195	80	67
178	215	300	361	76	383	132	232	334	4	304	342	83	142	280	5	326	408	181
229	370	360	234	415	117	317	395	310	58	25	36	206	130	417	285	115	49	27
293	344	63	403	101	382	186	40	34	356	108	405	44	261	327	388	148	319	71
332	391	257	315	337	93	135	128	152	335	236	18	138	377	255	81	366	245	345
8	16	172	298	155	9	139	65	150	254	353	371	2	162	55	272	283	410	211
48	267	97	104	191	322	239	68	144	105	125	260	238	203	32	411	166	291	20
199	87	194	219	247	13	209	269	227	54	100	183	214	202	112	2	24	2	110
